product_id,product_name,category_slug,product_type,image_path,source_type,source_url,license,generated_prompt,review_status,review_note
396,"Montech Air 100 Black",case,NEEDS_REVIEW,assets/images/products/396-montech-air-100-black-396-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
398,"Lian Li Lancool 216 White",case,NEEDS_REVIEW,assets/images/products/398-lian-li-lancool-216-white-398-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
399,"Lian Li Lancool 216 White",case,NEEDS_REVIEW,assets/images/products/399-lian-li-lancool-216-white-399-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
404,"Lian Li Lancool 216 White",case,NEEDS_REVIEW,assets/images/products/404-lian-li-lancool-216-white-404-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
411,"Lian Li Lancool 216 Black",case,NEEDS_REVIEW,assets/images/products/411-lian-li-lancool-216-black-411-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
413,"Lian Li Lancool 216 White",case,NEEDS_REVIEW,assets/images/products/413-lian-li-lancool-216-white-413-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
414,"Lian Li Lancool 216 White",case,NEEDS_REVIEW,assets/images/products/414-lian-li-lancool-216-white-414-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
417,"Lian Li Lancool 216 White",case,NEEDS_REVIEW,assets/images/products/417-lian-li-lancool-216-white-417-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
421,"Lian Li Lancool 216 Black",case,NEEDS_REVIEW,assets/images/products/421-lian-li-lancool-216-black-421-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
426,"Lian Li Lancool 216 Black",case,NEEDS_REVIEW,assets/images/products/426-lian-li-lancool-216-black-426-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
428,"Lian Li Lancool 216 Black",case,NEEDS_REVIEW,assets/images/products/428-lian-li-lancool-216-black-428-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
429,"Lian Li Lancool 216 White",case,NEEDS_REVIEW,assets/images/products/429-lian-li-lancool-216-white-429-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
430,"Lian Li Lancool 216 Black",case,NEEDS_REVIEW,assets/images/products/430-lian-li-lancool-216-black-430-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
431,"Lian Li Lancool 216 Black",case,NEEDS_REVIEW,assets/images/products/431-lian-li-lancool-216-black-431-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
437,"Lian Li Lancool 216 White",case,NEEDS_REVIEW,assets/images/products/437-lian-li-lancool-216-white-437-01.webp,existing_verified,,"Unsplash/Pexels or manufacturer allowed license",,PASS,"Ảnh gốc hợp lệ được chuyển đổi và định dạng WebP 1:1."
